,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary
10503,0.59,0.9,4,173,3,0,0,support,medium
4431,0.16,0.52,3,100,4,0,0,support,medium
10067,0.81,0.77,5,167,4,0,0,product_mng,low
9125,0.81,0.97,3,133,3,0,0,technical,medium
5555,0.9,0.95,3,133,4,0,0,technical,medium
9692,0.79,0.93,5,169,3,0,0,RandD,medium
6916,0.61,0.48,4,257,2,0,0,support,high
3948,0.76,0.44,4,192,4,1,0,technical,low
4358,0.85,0.81,4,189,4,0,0,marketing,medium
5145,0.63,0.92,2,198,2,0,0,hr,low
7118,0.85,0.67,3,267,2,1,0,sales,low
4568,0.53,0.8,4,204,3,0,0,IT,medium
14215,0.37,0.52,2,159,3,0,0,sales,low
10929,0.18,0.54,6,209,5,1,0,sales,low
4186,0.69,0.69,5,160,3,0,0,IT,medium
2968,0.24,0.85,4,155,5,0,0,product_mng,low
5966,0.7,0.48,5,273,2,0,0,sales,medium
11529,0.97,0.57,3,164,10,0,0,management,high
8165,0.6,0.59,5,266,2,0,0,RandD,low
11695,0.81,0.78,3,165,3,0,0,technical,high
1177,0.82,0.82,4,249,5,0,0,hr,low
10527,0.56,0.93,4,260,4,0,0,RandD,low
10351,0.79,0.68,5,272,3,0,0,support,medium
1463,0.46,0.57,2,145,3,0,0,sales,low
9759,0.91,0.77,4,167,3,1,0,IT,medium
10152,0.67,0.77,4,242,3,0,0,marketing,medium
432,0.44,0.51,2,150,3,0,0,support,low
154,0.39,0.48,2,160,3,0,0,sales,low
6978,0.8,0.74,3,159,2,0,0,hr,medium
13462,0.78,0.5,5,247,4,0,0,product_mng,medium
251,0.79,0.92,5,254,6,0,0,sales,low
9046,0.94,0.81,4,237,3,1,0,technical,low
3375,0.91,0.85,3,244,3,1,0,sales,medium
11681,0.93,0.98,4,189,10,0,0,sales,medium
2883,0.57,0.6,3,202,3,0,0,technical,medium
4733,0.56,0.54,4,191,2,1,1,sales,medium
11939,0.92,0.7,3,129,3,0,1,management,high
5317,0.99,1.0,3,139,2,0,0,support,medium
5920,0.81,0.62,4,255,4,1,0,technical,low
7213,0.72,0.73,5,211,2,0,0,technical,medium
8004,0.57,0.68,4,191,3,0,0,product_mng,medium
3902,0.2,0.49,5,199,5,0,0,sales,low
6160,0.75,0.77,4,204,2,0,0,support,low
6610,0.86,0.99,3,254,2,0,0,support,medium
9098,0.96,0.52,4,228,3,0,0,sales,low
11205,0.77,0.89,4,153,7,0,0,sales,medium
1232,0.09,0.88,7,265,4,0,0,sales,medium
10642,0.76,0.7,3,136,2,0,0,hr,high
7377,0.65,0.77,4,273,2,0,0,support,high
9603,0.77,0.86,3,101,5,0,0,IT,low
2504,0.71,0.99,2,136,3,0,0,IT,low
10249,0.7,0.79,4,194,3,0,0,sales,medium
4284,0.41,0.61,3,185,2,1,0,sales,medium
6991,0.63,0.73,5,168,3,0,0,technical,low
11944,0.99,0.68,5,264,10,1,0,support,medium
7657,0.75,0.76,3,171,4,0,0,sales,low
5554,0.52,0.9,5,176,3,0,0,technical,medium
2316,0.6,0.98,3,262,2,0,0,accounting,low
9130,0.22,0.59,5,162,2,0,0,support,low
12118,0.37,0.57,2,133,3,0,0,technical,low
8280,0.66,0.69,3,182,3,1,0,technical,low
10214,0.23,0.51,5,139,6,0,0,IT,low
4571,0.69,0.92,4,149,2,0,0,product_mng,medium
14740,0.39,0.57,2,145,3,0,0,accounting,medium
7014,0.21,0.62,4,247,3,1,0,product_mng,low
11999,0.5,0.73,4,180,3,0,0,IT,low
12435,0.41,0.47,2,135,3,0,0,support,low
7832,0.65,0.78,4,205,2,0,0,support,medium
6041,0.96,0.68,5,145,3,1,0,sales,medium
11402,0.67,0.69,3,231,3,0,1,technical,medium
11971,0.85,0.89,4,150,3,0,0,accounting,high
1513,0.84,0.93,4,250,5,0,0,IT,medium
9008,0.57,0.54,3,159,3,1,0,accounting,medium
1209,0.1,0.93,6,243,4,0,0,product_mng,low
12715,0.36,0.45,2,127,3,0,0,accounting,low
12670,0.11,0.95,6,245,4,0,0,management,low
2538,0.79,0.76,3,160,3,0,0,sales,low
11754,0.61,0.79,5,230,10,0,0,management,high
11891,0.49,0.4,2,148,2,1,1,management,high
11707,0.43,0.66,4,135,2,0,0,IT,high
281,0.27,0.56,3,301,3,0,0,support,low
1457,0.1,0.81,6,248,4,0,0,marketing,low
7045,0.58,0.59,4,224,3,0,0,sales,high
3487,0.14,0.46,2,267,6,1,0,support,low
11853,0.71,0.63,3,204,3,0,0,marketing,low
9438,0.65,0.85,4,233,2,0,0,support,low
12915,0.54,0.41,3,175,3,0,0,sales,medium
13685,0.77,0.65,3,156,4,0,0,product_mng,medium
14991,0.09,0.81,6,257,4,0,0,support,low
3497,0.74,0.97,2,135,4,0,0,IT,medium
1446,0.37,0.57,2,157,3,0,0,RandD,low
706,0.79,0.93,4,226,5,0,0,sales,low
10147,0.55,0.55,5,256,3,0,0,RandD,medium
10315,0.9,0.64,4,201,2,1,0,sales,medium
6017,0.82,0.59,3,178,2,0,0,IT,medium
9410,0.81,0.49,4,285,4,0,0,sales,low
4138,0.58,0.43,6,132,3,0,0,sales,low
9322,0.7,0.74,3,212,3,0,0,sales,low
14118,0.66,0.96,3,243,3,1,0,sales,medium
9606,0.87,0.63,3,143,3,1,0,IT,low
10582,0.62,0.5,4,156,2,0,0,support,medium
10125,1.0,0.66,4,173,2,0,0,support,medium
9109,0.91,0.7,3,195,3,0,0,sales,medium
8711,0.62,0.82,5,151,5,0,0,sales,low
4828,0.19,0.8,4,249,5,0,0,sales,low
5467,0.56,0.64,3,238,3,0,0,support,medium
5061,0.9,0.85,3,253,3,0,0,sales,medium
13086,0.66,0.91,3,191,4,0,0,technical,low
13705,0.49,0.49,3,168,7,0,0,sales,low
11513,0.98,0.49,3,199,10,0,0,technical,medium
1958,0.4,0.57,2,151,3,0,0,support,low
11256,0.67,0.64,3,198,2,1,0,management,medium
9050,0.61,0.9,4,216,3,0,0,technical,medium
2309,0.62,0.6,3,171,2,0,0,sales,low
1703,0.73,0.99,6,206,5,0,0,sales,medium
2545,0.52,0.38,6,169,3,0,0,accounting,low
11729,0.93,0.7,5,231,7,0,1,sales,high
11919,0.66,0.49,5,235,8,1,0,sales,low
15,0.38,0.54,2,143,3,0,0,sales,low
3913,0.19,0.86,4,192,4,0,0,sales,low
11064,0.59,0.53,5,169,3,0,0,technical,low
10806,0.95,0.67,4,261,3,0,0,technical,low
2410,0.58,0.5,2,132,3,0,0,support,medium
817,0.11,0.87,6,264,4,0,0,support,medium
2146,0.27,0.59,5,226,5,0,0,sales,low
5149,0.44,0.36,2,136,3,0,0,technical,high
2319,0.99,0.79,4,192,3,0,0,hr,low
8934,0.69,0.72,2,190,2,0,0,technical,medium
7257,0.74,1.0,4,219,3,0,0,management,medium
9171,0.3,0.58,2,124,3,0,0,sales,low
9203,0.24,0.74,6,106,5,0,0,technical,low
833,0.89,0.82,5,224,6,0,0,RandD,low
5914,0.97,0.92,3,168,3,0,0,technical,low
8275,0.6,0.88,3,201,2,0,0,hr,low
5297,0.21,0.93,4,260,3,0,0,hr,low
9159,0.75,0.64,3,195,3,0,0,sales,high
13880,0.69,0.43,5,113,8,0,0,technical,medium
3350,0.88,0.8,3,133,3,0,0,product_mng,medium
12496,0.1,0.82,6,244,4,0,0,technical,medium
4711,0.73,0.5,4,224,4,1,0,support,low
9792,0.76,0.65,3,254,2,0,0,sales,low
8634,0.5,0.89,5,223,3,0,0,marketing,low
5745,0.44,0.38,3,197,2,0,0,sales,medium
11740,0.92,0.63,5,224,8,1,0,sales,low
12593,0.37,0.54,2,132,3,0,0,technical,low
456,0.86,0.93,5,223,5,0,0,RandD,medium
2805,0.66,0.99,5,244,3,0,0,technical,medium
531,0.37,0.54,2,131,3,1,0,hr,medium
2763,0.84,0.99,2,184,2,0,0,sales,high
4333,0.67,0.57,5,215,4,0,0,technical,low
